year,China_cases,China_vaccinated,Ecuador_cases,Ecuador_vaccinated,Ethiopia_cases,Ethiopia_vaccinated,Hungary_cases,Hungary_vaccinated,Myanmar_cases,Myanmar_vaccinated,Syria_cases,Syria_vaccinated,United_States_cases,United_States_vaccinated
1980,1129.1991,0.78,341.27383,0.24,303.13342,0.04,111.39005,0.99,643.00269,0.0,165.49098,0.13,58.78231,0.86
1981,1002.7332,0.78,571.67297,0.31,270.87485,0.03,983.80945,0.99,785.64105,0.0,186.85832,0.14,13.469059,0.97
1982,873.4334699999998,0.78,196.23495,0.45,283.46393,0.07,235.25569,0.99,718.88422,0.0,83.420227,0.22,7.3206253,0.97
1983,753.5020099999998,0.78,297.00211,0.34,153.21527,0.07,11.621368,0.99,529.97369,0.0,88.439484,0.19,6.3339877,0.98
1984,588.3996599999998,0.84,790.91113,0.54,249.07007,0.08,9.2304792,0.99,454.63269,0.0,136.50053,0.23,10.843596,0.98
1985,390.48785,0.88,130.77603,0.51,1630.9803,0.12,1.8926848000000005,0.99,440.22351,0.0,39.909851,0.27,11.718102,0.97
1986,182.27025,0.63,90.47773,0.5,89.26664,0.1,1.6159695,0.99,100.90366,0.05,195.74699,0.64,25.841324,0.97
1987,94.41288,0.77,161.72137,0.47,111.09834,0.13,2.8639617000000004,0.99,143.2524,0.17,25.701963,0.37,14.893868,0.82
1988,85.618248,0.95,821.85028,0.53,168.58809,0.15,105.70197,0.99,109.82674,0.32,4.9492278,0.52,13.707919,0.98
1989,73.727036,0.95,365.74121,0.57,89.735039,0.23,50.0,0.99,97.038612,0.5,60.347683,0.86,72.73912,0.94
1990,73.09938000000002,0.98,161.08827,0.6,38.180798,0.38,2.7943728,0.99,194.45676,0.68,42.985699,0.87,110.03049,0.9
1991,103.79218,0.92,151.51515,0.54,9.975712800000002,0.17,1.5438055,0.99,107.72032,0.67,28.014046,0.84,37.819393,0.87
1992,116.31855,0.87,406.87466,0.69,93.227234,0.12,1.3514818000000002,0.99,43.010239,0.68,28.361265000000003,0.84,8.6656256,0.83
1993,96.827042,0.81,331.20264,0.85,21.519436,0.22,3.1853282000000003,0.99,63.539444,0.71,169.5665,0.86,1.1999077,0.84
1994,62.005287,0.75,327.617,0.83,20.439827,0.54,1.0619811,0.99,43.430416,0.77,95.627243,0.86,3.6461625,0.89
1995,42.93111,0.8,80.32515,0.81,9.8063164,0.38,0.38647342,0.99,27.05953,0.82,94.945976,0.85,1.1631452,0.88
1996,54.724033,0.84,3.5949671000000003,0.79,26.810921,0.54,1.1613278,0.99,38.453632,0.86,139.61369,0.85,1.8191761,0.91
1997,63.238094,0.83,0.0,0.77,18.253082,0.51,2.3280628,0.99,23.325521,0.88,451.34085,0.84,0.50709754,0.91
1998,41.840179,0.83,0.0,0.89,25.527916,0.44,2.2373540000000003,0.99,32.584518,0.89,346.1094700000001,0.87,0.36291975,0.92
1999,48.486485,0.84,0.0,0.99,82.441216,0.37,0.097560972,0.99,17.369726,0.86,0.18731269,0.86,0.35860032,0.92
2000,55.40294300000001,0.84,0.0,0.99,24.948524,0.36,0.097837783,0.99,18.331707,0.84,8.896472,0.84,0.3014366,0.91
2001,68.91268199999999,0.85,0.15560569,0.99,34.544182,0.35,1.9619384,0.99,54.023335,0.73,17.295879,0.8,0.40722901,0.91
2002,44.92445,0.85,0.0,0.99,47.264423,0.36,0.0,0.99,15.613068,0.77,31.484083,0.84,0.14260523,0.91
2003,55.023026,0.85,0.0,0.99,3.1428769,0.35,0.0,0.99,17.427822,0.8,45.994831,0.83,0.19308481,0.93
2004,53.689972,0.86,0.0,0.99,0.97823757,0.35,0.0,0.99,27.64488,0.86,10.613804,0.82,0.12647887,0.93
2005,93.989738,0.86,0.0,0.93,4.6528602,0.4,0.19829467,0.99,6.4764967,0.84,20.497404,0.81,0.22363026,0.92
2006,74.933289,0.93,0.0,0.97,18.401796,0.44,0.099443115,0.99,15.559104,0.78,27.332804,0.81,0.18467097,0.92
2007,81.555145,0.94,0.0,0.98,17.851851999999994,0.49,0.0,0.99,22.126413,0.81,20.526665,0.81,0.14304961,0.92
2008,97.768173,0.97,0.069213733,0.98,42.20713,0.54,0.0,0.99,6.729991900000001,0.82,0.93480933,0.81,0.46147659,0.92
2009,38.800564,0.99,0.0,0.97,13.767912,0.59,0.10041169,0.99,6.6062932,0.87,1.0564226,0.82,0.23196854,0.9
2010,28.063143,0.99,0.0,0.95,48.287971,0.64,0.0,0.99,3.7881808,0.88,1.236976,0.82,0.20412065,0.92
2011,7.271038499999999,0.99,16.933517000000002,0.94,36.147789,0.68,0.50515258,0.99,40.472374,0.88,0.62308282,0.8,0.7072795000000001,0.92
2012,4.4960765999999985,0.99,4.6692605,0.96,47.023064,0.62,0.20263425,0.99,42.657932,0.84,0.6365996,0.61,0.17553098,0.91
2013,19.441088,0.99,0.0,0.97,55.360004,0.55,0.10160536,0.99,19.631472,0.86,37.356758,0.58,0.59264046,0.92
2014,37.858875,0.99,0.0,0.85,130.83488,0.54,0.0,0.99,2.3495879,0.88,30.932667,0.54,2.0993392,0.92
2015,30.322205,0.99,0.0,0.84,177.67564,0.56,0.0,0.99,0.11449508,0.84,2.4019215,0.53,0.58763039,0.92
