Ecuador_cases,Ecuador_vaccinated
341.27383,0.24
571.67297,0.31
196.23495,0.45
297.00211,0.34
790.91113,0.54
130.77603,0.51
90.47773000000001,0.5
161.72137,0.47
821.85028,0.53
365.74121,0.57
161.08827,0.6
151.51515,0.54
406.87466,0.69
331.20264,0.85
327.617,0.83
80.32515,0.81
3.5949671000000003,0.79
0.0,0.77
0.0,0.89
0.0,0.99
0.0,0.99
0.15560569,0.99
0.0,0.99
0.0,0.99
0.0,0.99
0.0,0.93
0.0,0.97
0.0,0.98
0.069213733,0.98
0.0,0.97
0.0,0.95
16.933517000000002,0.94
4.6692605,0.96
0.0,0.97
0.0,0.85
0.0,0.84
