Hungary_cases,Hungary_vaccinated
111.39005,0.99
983.80945,0.99
235.25569,0.99
11.621367999999999,0.99
9.2304792,0.99
1.8926848000000003,0.99
1.6159695,0.99
2.8639617000000004,0.99
105.70196999999999,0.99
50.0,0.99
2.7943728,0.99
1.5438055,0.99
1.3514818000000002,0.99
3.1853282000000003,0.99
1.0619811000000001,0.99
0.38647342,0.99
1.1613278,0.99
2.3280627999999997,0.99
2.2373540000000003,0.99
0.097560972,0.99
0.09783778300000001,0.99
1.9619383999999997,0.99
0.0,0.99
0.0,0.99
0.0,0.99
0.19829467,0.99
0.099443115,0.99
0.0,0.99
0.0,0.99
0.10041169,0.99
0.0,0.99
0.50515258,0.99
0.20263425,0.99
0.10160536,0.99
0.0,0.99
0.0,0.99
