World_cases,World_vaccinated
944.60339,0.16
976.25043,0.18
885.51624,0.19
812.48938,0.36
685.77496,0.4
634.49554,0.46
451.96292,0.46
370.56049,0.53
355.17892,0.62
357.65976,0.68
257.75607,0.73
259.91171,0.68
269.24329,0.68
204.71108999999998,0.69
163.44897,0.71
125.25328,0.73
149.22546,0.73
139.69441,0.71
115.9599,0.7
124.01903999999999,0.71
138.88983000000002,0.72
136.44814,0.72
93.058876,0.72
106.53697,0.73
79.457748,0.75
89.527176,0.77
57.002213,0.79
42.501221,0.79
41.053371000000006,0.81
40.536442,0.83
49.410412,0.84
51.019672,0.84
31.949122999999997,0.84
38.945988,0.84
36.662838,0.84
28.449512,0.85
